usuario,ingredientes,receta,instrucciones
Pedro,"banana, harina, azúcar",Tomates Pollo en Salsa,3.0,facil,1. Cocina el pollo. 2. Prepara la salsa con ajo y cebolla. 3. Mezcla.
Diego ,"carne, arroz, frijol","1. Precalienta el horno a 190 °C (375 °F). 2. Cocina el arroz según las instrucciones del paquete y reserva. 3. En una sartén grande, calienta el aceite de oliva a fuego medio. Agrega la carne molida y cocina hasta que se dore, desmenuzándola con una espátula. Sazona con comino, chile en polvo, sal y pimienta. 4. Una vez que la carne esté cocida, incorpora el arroz y los frijoles cocidos. Mezcla bien hasta que se integren y estén bien calientes. 5. Mientras se cocina el relleno, prepara los pimientos. Corta la parte superior de los pimientos y retira las semillas y las membranas. Si lo deseas, puedes cocinarlos al vapor durante 5 minutos para ablandarlos. 6. Rellena cada pimiento con la mezcla de carne, arroz y frijoles, apretándolo bien. 7. Coloca los pimientos rellenos en posición vertical en una fuente para horno. Si usas queso, espolvoréalo sobre cada pimiento relleno. 8. Cubre la fuente para hornear con papel aluminio y hornea en el horno precalentado durante 25-30 minutos. 9. Retira el papel aluminio y hornea durante 10-15 minutos más, hasta que los pimientos estén tiernos y el queso se derrita (si lo usas). 10. Una vez listo, retira del horno y deja enfriar un poco. Decora con cilantro fresco si lo deseas y sirve caliente.",4.0,facil,
Dieog ,"carne, arrosz","1. Precalienta el horno a 190 °C (375 °F). 2. Cocina el arroz según las instrucciones del paquete y reserva. 3. En una sartén grande, calienta el aceite de oliva a fuego medio. Agrega la carne molida y cocina hasta que se dore, desmenuzándola con una espátula. Sazona con comino, chile en polvo, sal y pimienta. 4. Una vez que la carne esté cocida, incorpora el arroz y los frijoles cocidos. Mezcla bien hasta que se integren y estén bien calientes. 5. Mientras se cocina el relleno, prepara los pimientos. Corta la parte superior de los pimientos y retira las semillas y las membranas. Si lo deseas, puedes cocinarlos al vapor durante 5 minutos para ablandarlos. 6. Rellena cada pimiento con la mezcla de carne, arroz y frijoles, apretándolo bien. 7. Coloca los pimientos rellenos en posición vertical en una fuente para horno. Si usas queso, espolvoréalo sobre cada pimiento relleno. 8. Cubre la fuente para hornear con papel aluminio y hornea en el horno precalentado durante 25-30 minutos. 9. Retira el papel aluminio y hornea durante 10-15 minutos más, hasta que los pimientos estén tiernos y el queso se derrita (si lo usas). 10. Una vez listo, retira del horno y deja enfriar un poco. Decora con cilantro fresco si lo deseas y sirve caliente.",5.0,dificil,
Diego,"carne arroz,","1. Precalienta el horno a 190 °C (375 °F). 2. Cocina el arroz según las instrucciones del paquete y reserva. 3. En una sartén grande, calienta el aceite de oliva a fuego medio. Agrega la carne molida y cocina hasta que se dore, desmenuzándola con una espátula. Sazona con comino, chile en polvo, sal y pimienta. 4. Una vez que la carne esté cocida, incorpora el arroz y los frijoles cocidos. Mezcla bien hasta que se integren y estén bien calientes. 5. Mientras se cocina el relleno, prepara los pimientos. Corta la parte superior de los pimientos y retira las semillas y las membranas. Si lo deseas, puedes cocinarlos al vapor durante 5 minutos para ablandarlos. 6. Rellena cada pimiento con la mezcla de carne, arroz y frijoles, apretándolo bien. 7. Coloca los pimientos rellenos en posición vertical en una fuente para horno. Si usas queso, espolvoréalo sobre cada pimiento relleno. 8. Cubre la fuente para hornear con papel aluminio y hornea en el horno precalentado durante 25-30 minutos. 9. Retira el papel aluminio y hornea durante 10-15 minutos más, hasta que los pimientos estén tiernos y el queso se derrita (si lo usas). 10. Una vez listo, retira del horno y deja enfriar un poco. Decora con cilantro fresco si lo deseas y sirve caliente.",3.0,intermedio,
"carne, arroz, frijoles",Diego,Arroz con Pollo,5.0,facil,1. Sofríe ajo y cebolla. 2. Añade arroz y caldo. 3. Cocina a fuego lento.
,,Arroz con Pollo,,,1. Sofríe ajo y cebolla. 2. Añade arroz y caldo. 3. Cocina a fuego lento.
Diego,"Arroz, pollo, aceite, pepino","1. Precalienta el horno a 190 °C (375 °F). 2. Cocina el arroz según las instrucciones del paquete y reserva. 3. En una sartén grande, calienta el aceite de oliva a fuego medio. Agrega la carne molida y cocina hasta que se dore, desmenuzándola con una espátula. Sazona con comino, chile en polvo, sal y pimienta. 4. Una vez que la carne esté cocida, incorpora el arroz y los frijoles cocidos. Mezcla bien hasta que se integren y estén bien calientes. 5. Mientras se cocina el relleno, prepara los pimientos. Corta la parte superior de los pimientos y retira las semillas y las membranas. Si lo deseas, puedes cocinarlos al vapor durante 5 minutos para ablandarlos. 6. Rellena cada pimiento con la mezcla de carne, arroz y frijoles, apretándolo bien. 7. Coloca los pimientos rellenos en posición vertical en una fuente para horno. Si usas queso, espolvoréalo sobre cada pimiento relleno. 8. Cubre la fuente para hornear con papel aluminio y hornea en el horno precalentado durante 25-30 minutos. 9. Retira el papel aluminio y hornea durante 10-15 minutos más, hasta que los pimientos estén tiernos y el queso se derrita (si lo usas). 10. Una vez listo, retira del horno y deja enfriar un poco. Decora con cilantro fresco si lo deseas y sirve caliente.",4.0,fácil,
,,Arroz con Pollo,,,1. Sofríe ajo y cebolla. 2. Añade arroz y caldo. 3. Cocina a fuego lento.
,,Arroz con Pollo,,,1. Sofríe ajo y cebolla. 2. Añade arroz y caldo. 3. Cocina a fuego lento.
Diego,"carne, tomate, cebolla",Sándwich de Atún,5.0,intermedio,1. Mezcla atún con mayonesa. 2. Unta en pan. 3. Añade lechuga y tomate.
,,Arroz con Pollo,,,1. Sofríe ajo y cebolla. 2. Añade arroz y caldo. 3. Cocina a fuego lento.
Diego,"carne, cebolla, tomate,",Sándwich de Atún,5.0,facil,1. Mezcla atún con mayonesa. 2. Unta en pan. 3. Añade lechuga y tomate.
,,Arroz con Pollo,,,1. Sofríe ajo y cebolla. 2. Añade arroz y caldo. 3. Cocina a fuego lento.
Diego,"carne, zanahoria, papa",1. Fríe papas. 2. Mezcla con huevo batido. 3. Cocina en sartén.,4.0,facil,
,,Arroz con Pollo,,,1. Sofríe ajo y cebolla. 2. Añade arroz y caldo. 3. Cocina a fuego lento.
angel,"huevo, aceite, jamon",1. Hierve arroz en leche. 2. Endulza con azúcar. 3. Añade canela.,mediana,facil,
,,,,,
angel,"chile pimiento, carne de res, papa",,mediano,intermedio,
angel,"chile pimiento, carne de res, papa",,mediano,intermedio,
angel,"chile pimiento, carne de res, papa",,mediano,intermedio,
angel,"tomate, carne de res, papa, yuca",,mediano,intermedio,
angel,"maseca, chipilin, sal",,mediano,intermedio,
angel,"carne, tomate, cebolla",,5,facil,
,,,,,
,,,,,
,,,,,
angel,"tomate, chocolate, champurrada",,3,intermedio,
angel,"tomate, chocolate, champurrada",,3,intermedio,
angel,"tomate, chocolate, champurrada",,3,intermedio,
angel,"tomate, chocolate, champurrada",,3,intermedio,
angel,"tortilla, huevo, queso",,
angel,"tortilla, huevo, queso",,
angel,"chocolate, platano",,
pedro,"maseca, chipilin",,
angel,"chipilin, maseca",,
angel,"yuca, eltoe, carne de res",,
angel,"banano, huevo, leche",,
angel,"tomate, cebolla, cilantro, arroz",,
angel,"aguacate, limón, cebolla, cilantro",,
angel,"aguacate, limón, cebolla, cilantro",,
pedro,"aguacate, limón, cebolla, cilantro"," ""Guacamole""", 1. Machaca el aguacate. 2. Exprime el limÃ³n y agrega cebolla picada. 3. Decora con cilantro.
pedro,"pollo, cebolla, crema",,
pedro,"pollo, cebolla, crema, papa",,
pedro,"pollo, cebolla, crema, papa, zanahoria",,
pedro,"banano, huevo, vainilla, leche",,
pedro,"banano, huevo, vainilla, leche, mantequilla",,
pedro,"banano, huevo, vainilla, leche, mantequilla, harina",,
pedro,"banano, huevo, vainilla, leche, mantequilla, harina",,
pedro,"banano, huevo, vainilla, leche, mantequilla, harina de pan",,
pedro,"maseca, chipilin",,
