ingredientes,receta,instrucciones
huevo,leche,pan,vainilla,azúcar,Torrijas,"1. Remoja el pan en leche con vainilla. 2. Empana en huevo batido. 3. Fríe y espolvorea azúcar."
arroz,caldo de pollo,cebolla,ajo,comino,Arroz con Pollo,"1. Sofríe ajo y cebolla. 2. Añade arroz y caldo. 3. Cocina a fuego lento."
harina,huevo,leche,mantequilla,Panqueques,"1. Mezcla harina, huevo y leche. 2. Cocina en mantequilla. 3. Sirve caliente."
pasta,tomate,albahaca,ajo,queso parmesano,Pasta al Pesto,"1. Licúa albahaca, ajo y queso. 2. Mezcla con pasta cocida. 3. Añade tomate picado."
atún,mayonesa,pan,lechuga,Tomate,Sándwich de Atún,"1. Mezcla atún con mayonesa. 2. Unta en pan. 3. Añade lechuga y tomate."
papa,huevo,cebolla,perejil,Tortilla de Papas,"1. Fríe papas. 2. Mezcla con huevo batido. 3. Cocina en sartén."
frijoles,cebolla,ajo,chorizo,Frijoles Charros,"1. Cocina frijoles. 2. Sofríe chorizo con ajo. 3. Mezcla y sirve."
carne molida,pan rallado,huevo,ajo,Albóndigas,"1. Mezcla carne, pan y huevo. 2. Forma bolas. 3. Cocina en salsa."
aguacate,limón,cebolla,cilantro,Guacamole,"1. Machaca aguacate. 2. Añade limón y cebolla. 3. Decora con cilantro."
zanahoria,apio,cebolla,papa,Crema de Zanahoria,"1. Hierve vegetales. 2. Licúa con caldo. 3. Sirve caliente."
chocolate,leche,canela,Chocolate Caliente,"1. Hierve leche. 2. Disuelve chocolate. 3. Añade canela."
espinaca,queso crema,ajo,nuez,Espinacas a la Crema,"1. Saltea espinacas. 2. Añade queso y nuez. 3. Sirve caliente."
lenteja,zanahoria,cebolla,ajo,Lentejas,"1. Remoja lentejas. 2. Cocina con vegetales. 3. Sazona al gusto."
pollo,limón,orégano,ajo,Pollo al Limón,"1. Marina pollo con limón. 2. Hornea con ajo. 3. Espolvorea orégano."
arroz,leche,canela,azúcar,Arroz con Leche,"1. Hierve arroz en leche. 2. Endulza con azúcar. 3. Añade canela."
berenjena,tomate,queso mozzarella,albahaca,Lasaña de Berenjena,"1. Corta berenjenas en láminas. 2. Alterna capas con tomate y queso. 3. Hornea 25 min."
camarón,ajo,mantequilla,perejil,Camarones al Ajillo,"1. Derrite mantequilla. 2. Sofríe ajo y camarones. 3. Espolvorea perejil."
manzana,hojaldre,canela,azúcar,Strudel de Manzana,"1. Rellena hojaldre con manzana. 2. Espolvorea canela/azúcar. 3. Hornea hasta dorar."
ternera,vino tinto,zanahoria,cebolla,Estofado de Ternera,"1. Dora la carne. 2. Añade vegetales y vino. 3. Cocina a fuego lento 2h."
carne, arroz, frijol, pimientos,Estofado de arroz y carne con pimientos,"1. Precalienta el horno a 190 °C (375 °F). 2. Cocina el arroz según las instrucciones del paquete y reserva. 3. En una sartén grande, calienta el aceite de oliva a fuego medio. Agrega la carne molida y cocina hasta que se dore, desmenuzándola con una espátula. Sazona con comino, chile en polvo, sal y pimienta. 4. Una vez que la carne esté cocida, incorpora el arroz y los frijoles cocidos. Mezcla bien hasta que se integren y estén bien calientes. 5. Mientras se cocina el relleno, prepara los pimientos. Corta la parte superior de los pimientos y retira las semillas y las membranas. Si lo deseas, puedes cocinarlos al vapor durante 5 minutos para ablandarlos. 6. Rellena cada pimiento con la mezcla de carne, arroz y frijoles, apretándolo bien. 7. Coloca los pimientos rellenos en posición vertical en una fuente para horno. Si usas queso, espolvoréalo sobre cada pimiento relleno. 8. Cubre la fuente para hornear con papel aluminio y hornea en el horno precalentado durante 25-30 minutos. 9. Retira el papel aluminio y hornea durante 10-15 minutos más, hasta que los pimientos estén tiernos y el queso se derrita (si lo usas). 10. Una vez listo, retira del horno y deja enfriar un poco. Decora con cilantro fresco si lo deseas y sirve caliente."
